question_type	question_text	required	page_number	option_text	option_values
radio	你会创造出伟大的艺术作品、音乐或诗歌。	1	4	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会创建世界和平。	1	4	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会开发一个电视节目或电影。	1	5	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你只会做你真正喜欢做的事情，别的什么都不做。	1	5	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会最大限度地享受每一天。	1	5	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会有十个亲密的朋友。	1	5	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会有一百个朋友。	1	5	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会拥有两千万美元或更多。	1	5	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会有四十个亲密的朋友。	1	6	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会在电影中担任主要角色。	1	6	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会拥有一百万美元或更多。	1	6	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你一生中会有超过50个恋人。	1	6	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会拥有可以想象的最亲密的家庭关系。	1	6	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会经营一家财富500强公司。	1	6	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会实现自我或达到涅槃。	1	7	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会终止世界饥饿。	1	7	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会写一本畅销书。	1	7	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你的孩子会将你视为完美的父母。	1	7	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你的伴侣关系将在多年来都是纯粹的幸福。	1	7	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你的恋爱关系将比罗密欧与朱丽叶的爱情更加浪漫	1	7	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
instruction	恭喜您完成此项调查！请按<strong>完成</strong>继续。	0	8		
